,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,word_count,complex_word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_whole_report
52,4457,AMERCO /NV/,200108,10/8/2001,10-Q/A,edgar/data/4457/0000004457-01-500083.txt,22,136,-0.7215189827751963,9,0.4294032023289665,3.771761280931587,4809,2065,38,19,0.004574755666458723,0.02828030775629029,0.007901850696610521,0.003950925348305261,19
53,4515,AMERICAN AIRLINES INC,200810,16/10/2008,10-Q,edgar/data/4515/0000004515-08-000073.txt,130,780,-0.714285713500785,20,0.48597422289613346,8.194389689158454,18466,8974,277,273,0.007039965341709087,0.04223979205025452,0.015000541535795517,0.014783927217589083,273
54,4515,AMERICAN AIRLINES INC,200902,19/2/2009,10-K,edgar/data/4515/0000004515-09-000008.txt,697,2604,-0.5777037259685842,15,0.4979195182042157,6.199167807281686,73060,36378,864,788,0.00954010402408979,0.03564193813304133,0.01182589652340542,0.010785655625513276,788
55,4515,AMERICAN AIRLINES INC,200904,16/4/2009,10-Q,edgar/data/4515/0000004515-09-000018.txt,84,415,-0.6633266519773013,27,0.4127220772766803,10.965088830910673,8049,3322,166,105,0.010436079016026835,0.05155919990060877,0.02062367996024351,0.013045098770033545,105
56,4515,AMERICAN AIRLINES INC,200907,15/7/2009,10-Q,edgar/data/4515/0000004515-09-000029.txt,236,994,-0.6162601621006014,30,0.43638550219789335,12.174554200879157,24114,10523,448,379,0.009786845815708716,0.041220867545824005,0.018578419175582648,0.015717010865057644,379
57,4515,AMERICAN AIRLINES INC,200910,21/10/2009,10-Q,edgar/data/4515/0000004515-09-000039.txt,144,628,-0.6269430043692448,22,0.43871018730735795,8.975484074922944,12653,5551,305,174,0.011380700229194657,0.04963249822176559,0.02410495534655813,0.01375167944361021,174
58,4515,AMERICAN AIRLINES INC,200911,6/11/2009,10-Q/A,edgar/data/4515/0000004515-09-000041.txt,6,78,-0.8571428469387756,20,0.5080213903743316,8.203208556149733,2431,1235,16,30,0.0024681201151789387,0.03208556149732621,0.00658165364047717,0.012340600575894693,30
59,4515,AMERICAN AIRLINES INC,201002,17/2/2010,10-K,edgar/data/4515/0000004515-10-000006.txt,338,978,-0.48632218808030225,22,0.4404766040226491,8.97619064160906,28787,12680,593,361,0.011741411053600584,0.033973668669885715,0.02059957619758919,0.01254038281168583,361
60,4515,AMERICAN AIRLINES INC,201004,21/4/2010,10-Q,edgar/data/4515/0000004515-10-000016.txt,91,399,-0.6285714272886297,27,0.41607593415835636,10.966430373663343,8323,3463,151,94,0.010933557611438183,0.0479394449116905,0.01814249669590292,0.01129400456566142,94
61,4515,AMERICAN AIRLINES INC,201007,21/7/2010,10-Q,edgar/data/4515/0000950123-10-066865.txt,189,4346,-0.9166482908673321,16,0.0798733535370211,6.431949341414809,169606,13547,380,281,0.0011143473697864462,0.025624093487258706,0.0022404867752320082,0.0016567810101057745,281
62,4515,AMERICAN AIRLINES INC,201010,20/10/2010,10-Q,edgar/data/4515/0000950123-10-094615.txt,178,4133,-0.9174205518632751,36,0.10067693124502257,14.44027077249801,105476,10619,310,246,0.0016875876976753005,0.039184269407258526,0.0029390572262884447,0.002332284121506314,246
63,4962,AMERICAN EXPRESS CO,201404,29/4/2014,10-Q,edgar/data/4962/0001193125-14-167067.txt,658,2253,-0.547921676211638,42,0.027140696393354084,16.810856278557342,1392374,37790,769,664,0.0004725741790639584,0.0016180997346977176,0.0005522941393619817,0.0004768833661070948,664
64,4962,AMERICAN EXPRESS CO,201407,30/7/2014,10-Q,edgar/data/4962/0001193125-14-286961.txt,801,2398,-0.49921850562700265,43,0.023294317502545795,17.209317727001018,1692988,39437,799,638,0.0004731279843684657,0.00141643059490085,0.0004719466410866468,0.0003768485069002261,638
65,5588,AMERICAN PAD & PAPER CO,199611,6/11/1996,10-Q,edgar/data/5588/0000930661-96-001510.txt,25,83,-0.537037032064472,10,0.40178016973711445,4.1607120678948455,4831,1941,54,25,0.00517491202649555,0.017180707927965225,0.011177809977230387,0.00517491202649555,25
66,5588,AMERICAN PAD & PAPER CO,199703,31/3/1997,10-K,edgar/data/5588/0000950134-97-002428.txt,350,842,-0.41275167750608077,13,0.4095669493703418,5.363826779748138,31128,12749,350,358,0.011243896170650218,0.027049601644821383,0.011243896170650218,0.011500899511693651,358
67,5588,AMERICAN PAD & PAPER CO,199705,15/5/1997,10-Q,edgar/data/5588/0000950134-97-003934.txt,26,25,0.0196078427527874,13,0.3800256081946223,5.352010243277849,3905,1484,59,16,0.006658130601792573,0.006402048655569782,0.015108834827144686,0.00409731113956466,16
68,5588,AMERICAN PAD & PAPER CO,199708,14/8/1997,10-Q,edgar/data/5588/0000950134-97-006223.txt,70,164,-0.4017093999926949,12,0.41540033201379134,4.966160132805516,7831,3253,100,57,0.00893883284382582,0.020942408376963352,0.012769761205465458,0.007278763887115311,57
